Species_name	References
"""Erigeron annuus (L.) Desf."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Erigeron atticus Vill."""	"""Schubert et al. (1987)"""
"""Erigeron borealis (Vierh.) Simmons"""	"""Klimešová, pers. obs."""
"""Erigeron glabratus Hoppe & Hornsch. ex Bluff & Fingerh."""	"""Schubert et al. (1987)"""
"""Erigeron nematophyllus Rydb."""	"""Schubert et al. (1987)"""
"""Erigeron schleicheri Gremli"""	"""Schubert et al. (1987)"""
"""Erigeron uniflorus L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Eriophorum angustifolium Honck."""	"""Forrest and Smith (1975); Grime et al. (1988); Kutschera and Lichtenegger (1982); Phillips (1954); Schubert et al. (1987); Tolvanen et al. (2001); Klimešová, pers. obs."""
"""Eriophorum gracile W. D. J. Koch"""	"""Schubert et al. (1987)"""
"""Eriophorum latifolium Hoppe"""	"""Kutschera and Lichtenegger (1982); Schubert et al. (1987)"""
"""Eriophorum scheuchzeri Hoppe"""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Eriophorum vaginatum L."""	"""Fetcher and Shawer (1983); Kutschera and Lichtenegger (1982); Schubert et al. (1987); Wein (1973); Klimešová, pers. obs."""
"""Eritrichium nanum (L.) Schrad."""	"""Rauh (1939)"""
"""Erodium cicutarium (L.) L'Hér."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Erophila verna agg."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Eruca sativa Mill."""	"""Schubert et al. (1987)"""
"""Erucastrum gallicum (Willd.) O. E. Schulz"""	"""Schubert et al. (1987)"""
"""Erucastrum nasturtiifolium (Poir.) O. E. Schulz"""	"""Schubert et al. (1987)"""
"""Eryngium campestre L."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Eryngium maritimum L."""	"""Lukasiewitz (1985); Schubert et al. (1987)"""
"""Eryngium planum L."""	"""Lukasiewicz (1962); Schubert et al. (1987)"""
"""Erysimum cheiranthoides L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Erysimum cheiri (L.) Crantz"""	"""Schubert et al. (1987)"""
"""Erysimum crepidifolium Rchb."""	"""Schubert et al. (1987)"""
"""Erysimum diffusum Ehrh."""	"""Kutschera and Lichtenegger (1992); Klimešová, pers. obs."""
"""Erysimum durum J. Presl et C. Presl"""	"""Schubert et al. (1987)"""
"""Erysimum odoratum Ehrh."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Erysimum repandum L."""	"""Schubert et al. (1987)"""
"""Erysimum virgatum Roth"""	"""Schubert et al. (1987)"""
"""Erythronium dens-canis L."""	"""Kutschera and Lichtenegger (1982d); Loew and Kirchner (1934); Velenovský (1904)"""
"""Eschscholzia californica Cham."""	"""Schubert et al. (1987)"""
"""Euonymus europaeus L."""	"""Beijerinck (1887); Jäger and Werner (2002)"""
"""Euonymus verrucosus Scop."""	"""Bagdasarova (1995)"""
"""Eupatorium cannabinum L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Euphorbia amygdaloides L."""	"""Rauh (1937); Schubert et al. (1987); Klimešová, pers. obs."""
"""Euphorbia cyparissias L."""	"""Korsmo (1930); Kutschera and Lichtenegger (1992); Rauh (1937); Schubert et al. (1987); Wehsarg (1954); Klimešová, pers. obs."""
"""Euphorbia dulcis L."""	"""Rauh (1937); Schubert et al. (1987); Klimešová, pers. obs."""
"""Euphorbia epithymoides L."""	"""Rauh (1937); Schubert et al. (1987)"""
"""Euphorbia esula agg. """	"""Beijerinck (1887); Best et al. (1980); Korsmo (1930); Raju et al. (1964); Rauh (1937); Schubert et al. (1987); Wehsarg (1954); Klimešová, pers. obs."""
"""Euphorbia exigua L."""	"""Rauh (1937); Schubert et al. (1987); Klimešová, pers. obs."""
"""Euphorbia falcata L."""	"""Schubert et al. (1987)"""
"""Euphorbia helioscopia L."""	"""Jäger and Werner (2002); Rauh (1937); Klimešová, pers. obs."""
"""Euphorbia humifusa Willd."""	"""Schubert et al. (1987)"""
"""Euphorbia illirica Lam."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Euphorbia lathyris L."""	"""Jäger and Werner (2002); Rauh (1937)"""
"""Euphorbia lucida Waldst. et Kit."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Euphorbia myrsinites L."""	"""Kutschera and Lichtenegger (1992); Lukasiewicz (1962); Rauh (1937)"""
"""Euphorbia nicaeensis All."""	"""Reichardt (1857)"""
"""Euphorbia palustris L."""	"""Lukasiewicz (1962); Rauh (1937); Schubert et al. (1987); Klimešová, pers. obs."""
"""Euphorbia peplus L."""	"""Rauh (1937); Schubert et al. (1987)"""
"""Euphorbia platyphyllos L."""	"""Schubert et al. (1987)"""
"""Euphorbia salicifolia Host"""	"""Schubert et al. (1987)"""
"""Euphorbia segetalis L."""	"""Rauh (1937)"""
"""Euphorbia seguieriana Neck."""	"""Kutschera and Lichtenegger (1992); Rauh (1937); Schubert et al. (1987)"""
"""Euphorbia stricta L."""	"""Schubert et al. (1987)"""
"""Euphorbia taurinensis All."""	"""Rauh (1937)"""
"""Euphorbia verrucosa L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Euphrasia micrantha Rchb."""	"""Jäger and Werner (2002)"""
"""Euphrasia minima Jacq. ex DC."""	"""Jäger and Werner (2002)"""
"""Euphrasia nemorosa (Pers.) Wallr."""	"""Jäger and Werner (2002)"""
"""Euphrasia officinalis L."""	"""Schubert et al. (1987)"""
"""Euphrasia salisburgensis Funck"""	"""Schubert et al. (1987)"""
"""Euphrasia stricta agg. """	"""Jäger and Werner (2002); Klimešová, pers. obs."""
"""Fagopyrum esculentum Moench"""	"""Schubert et al. (1987)"""
"""Fagopyrum tataricum (L.) Gaertn."""	"""Schubert et al. (1987)"""
"""Fagus sylvatica L."""	"""Büsgen (1921)"""
"""Falcaria vulgaris Bernh."""	"""Jäger and Werner (2002); Wehsarg (1954)"""
"""Fallopia convolvulus (L.) Á. Löve"""	"""Schubert et al. (1987)"""
"""Fallopia dumetorum (L.) Holub"""	"""Schubert et al. (1987)"""
"""Festuca airoides Lam."""	"""Schubert et al. (1987)"""
"""Festuca alpina Suter"""	"""Schubert et al. (1987)"""
"""Festuca altissima All."""	"""Schubert et al. (1987)"""
"""Festuca amethystina L."""	"""Schubert et al. (1987)"""
"""Festuca arundinacea Schreb."""	"""Kutschera and Lichtenegger (1982); Mühlberg (1967); Robson (1968); Schubert et al. (1987)"""
"""Festuca brevipila R. Tracey"""	"""Jäger and Werner (2002)"""
"""Festuca csikhegyensis Simonk."""	"""Klimešová, pers. obs."""
"""Festuca duvalii (St.-Yves) Stöhr"""	"""Jäger and Werner (2002)"""
"""Festuca filiformis Pourr."""	"""Schubert et al. (1987)"""
"""Festuca gigantea (L.) Vill."""	"""Grime et al. (1988); Schubert et al. (1987); Klimešová, pers. obs."""
"""Festuca halleri agg."""	"""Hess (1909); Klimešová, pers. obs."""
"""Festuca heteromalla Pourr."""	"""Jäger and Werner (2002)"""
"""Festuca heteropachys (St.-Yves) Patzke ex Auquier"""	"""Jäger and Werner (2002)"""
"""Festuca heterophylla Lam."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Festuca makutrensis Zapal."""	"""Jäger and Werner (2002)"""
"""Festuca norica (Hack.) K. Richt."""	"""Schubert et al. (1987)"""
"""Festuca ovina agg. """	"""Grime et al. (1988); Schubert et al. (1987); Klimešová, pers. obs."""
"""Festuca pallens Host"""	"""Schubert et al. (1987)"""
"""Festuca patzkei Markgr.-Dann."""	"""Jäger and Werner (2002)"""
"""Festuca polesica Zapal."""	"""Schubert et al. (1987)"""
"""Festuca pratensis Huds."""	"""Grime et al. (1988); Kutschera and Lichtenegger (1982); Schubert et al. (1987); Klimešová, pers. obs."""
"""Festuca psammophila (Èelak.) Fritsch"""	"""Schubert et al. (1987)"""
"""Festuca puccinellii Parl."""	"""Schubert et al. (1987)"""
"""Festuca pulchella Schrad."""	"""Schubert et al. (1987)"""
"""Festuca pulchra Schur"""	"""Kutschera and Lichtenegger (1982); Schubert et al. (1987)"""
"""Festuca quadriflora Honck."""	"""Hartmann (1957); Hess (1909); Schubert et al. (1987); Klimešová, pers. obs."""
"""Festuca rubra L. subsp. rubra """	"""Grime et al. (1988); Herben et al. (2001); Schubert et al. (1987); Klimešová, pers. obs."""
"""Festuca rubra subsp. arenaria (Osbeck) F. Aresch."""	"""Grime et al. (1988); Herben et al. (2001); Schubert et al. (1987); Klimešová, pers. obs."""
"""Festuca rubra subsp. commutata (Gaudin) Markgr.-Dann."""	"""Jäger and Werner (2002)"""
"""Festuca rupicola Heuffel"""	"""Kutschera and Lichtenegger (1982); Schubert et al. (1987); Slavíková et al. (1984)"""
"""Festuca trichophylla (Ducros ex Gaudin) K. Richt."""	"""Jäger and Werner (2002)"""
"""Festuca vaginata Willd."""	"""Klimešová, pers. obs."""
"""Festuca valesiaca Gaudin"""	"""Kutschera and Lichtenegger (1982); Schubert et al. (1987)"""
"""Ficaria verna Huds."""	"""Barykina (1995); Grime et al. (1988); Kutschera and Lichtenegger (1992); Marsdon-Jones (1935); Möbius (1940); Schubert et al. (1987); Taylor and Markham (1978); Troll (1941-1942); Klimešová, pers. obs."""
"""Filago arvensis L."""	"""Schubert et al. (1987)"""
"""Filago gallica L."""	"""Schubert et al. (1987); """
"""Filago lutescens Jord."""	"""Schubert et al. (1987)"""
"""Filago minima (Sm.) Pers."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Filago pyramidata L."""	"""Schubert et al. (1987)"""
"""Filago vulgaris Lam."""	"""Schubert et al. (1987)"""
"""Filipendula ulmaria (L.) Maxim."""	"""Faliñska (1995); Grime et al. (1988); Korsmo (1930); Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Filipendula vulgaris Moench"""	"""Beijerinck (1887); Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Foeniculum vulgare Mill."""	"""Schubert et al. (1987)"""
"""Fourraea alpina (L.) Greuter et Burdet"""	"""Schubert et al. (1987)"""
"""Fragaria moschata Weston"""	"""Gerstberger (1995); Schubert et al. (1987); Klimešová, pers. obs."""
"""Fragaria vesca L."""	"""Gerstberger (1995); Grime et al. (1988); Chen et al. (2004); Serebrjakov (1952); Schubert et al. (1987); Klimešová, pers. obs."""
"""Fragaria viridis Weston"""	"""Gerstberger (1995); Grigorieva (1995); Schubert et al. (1987)"""
"""Frangula alnus Mill."""	"""Aksenova (1978a); Beijerinck (1887); Godwin (1943a); Jäger and Werner (2002)"""
"""Frankenia laevis L."""	"""Brightmore (1979)"""
"""Fraxinus angustifolia Vahl"""	"""Klimešová, pers. obs."""
"""Fraxinus excelsior L."""	"""Marigo et al. (2000); Wardle (1961)"""
"""Fraxinus pennsylvanica Marshall"""	"""Lesica (2003)"""
"""Fritillaria meleagris L."""	"""Baranova (1981); Irmisch (1850); Loew and Kirchner (1934e); Schubert et al. (1987); Velenovský (1904)"""
"""Fritillaria orientalis Adam"""	"""Loew and Kirchner (1934e)"""
"""Fumana procumbens (Dunal) Gren. et Godr."""	"""Bengtsson (1993); Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Fumaria capreolata L."""	"""Schubert et al. (1987)"""
"""Fumaria muralis W. D. J. Koch"""	"""Schubert et al. (1987)"""
"""Fumaria officinalis L."""	"""Schubert et al. (1987)"""
"""Fumaria parviflora agg."""	"""Schubert et al. (1987)"""
"""Fumaria rostellata Knaf"""	"""Schubert et al. (1987)"""
"""Fumaria schleicheri Soy.-Will."""	"""Schubert et al. (1987)"""
"""Fumaria vaillantii Loisel."""	"""Schubert et al. (1987)"""
"""Gagea bohemica (Zauschn.) Schult. et Schult. f."""	"""Graebner and Kirchner (1934b); Irmisch (1850); Schubert et al. (1987); Slater (1990); Velenovský (1904)"""
"""Gagea lutea (L.) Ker Gawl."""	"""Graebner and Kirchner (1934b); Irmisch (1850); Schubert et al. (1987); Velenovský (1904)"""
"""Gagea minima (L.) Ker Gawl."""	"""Graebner and Kirchner (1934b); Irmisch (1850); Schubert et al. (1987)"""
"""Gagea pratensis agg. """	"""Graebner and Kirchner (1934b); Irmisch (1850); Schubert et al. (1987); Velenovský (1904)"""
"""Gagea pusilla (F. W. Schmidt) Sweet"""	"""Graebner and Kirchner (1934b)"""
"""Gagea spathacea (Hayne) Salisb."""	"""Graebner and Kirchner (1934b); Schubert et al. (1987)"""
"""Gagea villosa (M. Bieb.) Sweet"""	"""Graebner and Kirchner (1934b); Irmisch (1850); Schubert et al. (1987); Velenovský (1904)"""
"""Galanthus nivalis L."""	"""Buxbaum (1934a); Irmisch (1850); Kutschera and Lichtenegger (1982); Serebrjakov (1952); Schubert et al. (1987); Velenovský (1904)"""
"""Galatella linosyris (L.) Rchb. f."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Galega officinalis L."""	"""Christiansen (1938-42); Lukasiewicz (1962); Schubert et al. (1987)"""
"""Galeobdolon flavidum (F. Herm.) Holub"""	"""Packham (1983)"""
"""Galeobdolon luteum Huds."""	"""Grime et al. (1988); Lukasiewicz (1962); Packham (1983); Packham and Willis (1982); Schubert et al. (1987); Klimešová, pers. obs."""
"""Galeopsis angustifolia Ehrh."""	"""Schubert et al. (1987)"""
"""Galeopsis bifida Boenn."""	"""Schubert et al. (1987)"""
"""Galeopsis ladanum L."""	"""Schubert et al. (1987)"""
"""Galeopsis pubescens Besser"""	"""Schubert et al. (1987)"""
"""Galeopsis segetum Neck."""	"""Schubert et al. (1987)"""
"""Galeopsis speciosa Mill."""	"""Schubert et al. (1987)"""
"""Galeopsis tetrahit L."""	"""Schubert et al. (1987)"""
"""Galinsoga parviflora Cav."""	"""Schubert et al. (1987); Warwick and Sweet (1983)"""
"""Galinsoga quadriradiata Ruiz et Pav."""	"""Schubert et al. (1987); Warwick and Sweet (1983)"""
"""Galium album Mill. subsp. album """	"""Kutschera and Lichtenegger (1992); Klimešová, pers. obs."""
"""Galium aparine L."""	"""Schubert et al. (1987); Taylor (1999a)"""
"""Galium aristatum L."""	"""Schubert et al. (1987)"""
"""Galium boreale L."""	"""Kutschera and Lichtenegger (1992); Lukasiewicz (1962); Serebrjakov (1952); Schubert et al. (1987); Klimešová, pers. obs."""
"""Galium glaucum L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Galium intermedium Schult."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Galium lucidum All."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Galium megalospermum All."""	"""Hartmann (1957); Schubert et al. (1987)"""
"""Galium mollugo agg. """	"""Lukasiewicz (1962); Schubert et al. (1987); Klimešová, pers. obs."""
"""Galium noricum Ehrend."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Galium odoratum (L.) Scop."""	"""Schubert et al. (1987); Ziegenhagen et al. (2003); Klimešová, pers. obs."""
"""Galium palustre agg. """	"""Grime et al. (1988); Schubert et al. (1987)"""
"""Galium parisiense L."""	"""Schubert et al. (1987)"""
"""Galium pumilum Murray"""	"""Hess (1909); Schubert et al. (1987)"""
"""Galium pusillum agg."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Galium rotundifolium L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Galium saxatile L."""	"""Grime et al. (1988); Schubert et al. (1987)"""
"""Galium spurium L."""	"""Malik and Vanden Born (1988); Schubert et al. (1987)"""
"""Galium sylvaticum L."""	"""Schubert et al. (1987)"""
"""Galium tricornutum Dandy"""	"""Schubert et al. (1987)"""
"""Galium uliginosum L."""	"""Jäger and Werner (2002)"""
"""Galium verrucosum Huds."""	"""Schubert et al. (1987)"""
"""Galium verum agg. """	"""Grime et al. (1988); Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Galium x pomeranicum Retz."""	"""Klimešová, pers. obs."""
"""Gaudinia fragilis (L.) P. Beauv."""	"""Schubert et al. (1987)"""
"""Genista anglica L."""	"""Schubert et al. (1987)"""
"""Genista germanica L."""	"""Christiansen (1938-42); Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Genista pilosa L."""	"""Christiansen (1938-42); Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Genista sagittalis L."""	"""Beijerinck (1887); Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Genista tinctoria L."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Gentiana acaulis L."""	"""Bassler (1995); Karrer (1996a, b); Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Gentiana asclepiadea L."""	"""Bassler (1995); Karrer (1996a, b); Schubert et al. (1987); Klimešová, pers. obs."""
"""Gentiana bavarica L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Gentiana clusii E. P. Perrier & Songeon"""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Gentiana cruciata L."""	"""Bassler (1995); Karrer (1996a, b); Lukasiewicz (1962); Schubert et al. (1987)"""
"""Gentiana frigida Haenke"""	"""Klimešová, pers. obs."""
"""Gentiana lutea L."""	"""Schubert et al. (1987)"""
"""Gentiana nivalis L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Gentiana orbicularis Schur"""	"""Schubert et al. (1987)"""
"""Gentiana pannonica Scop."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987)"""
"""Gentiana pneumonanthe L."""	"""Kutschera and Lichtenegger (1992); Oostermeijer et al. (1994); Schubert et al. (1987); Simmonds (1945)"""
"""Gentiana punctata L."""	"""Bassler (1995); Karrer (1996a, b); Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Gentiana purpurea L."""	"""Schubert et al. (1987)"""
"""Gentiana terglouensis Hacq."""	"""Klimešová, pers. obs."""
"""Gentiana utriculosa L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Gentiana verna L."""	"""Bassler (1995); Elkington (1963); Karrer (1996a,b); Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Gentianella amarella (L.) Börner"""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Gentianella anisodonta (Borb.) Á. Löve & D. Löve"""	"""Kutschera and Lichtenegger (1992)"""
"""Gentianella campestris (L.) Börner"""	"""Schubert et al. (1987)"""
"""Gentianella campestris subsp. baltica (Murb.) Á. Löve et D. Löve"""	"""Schubert et al. (1987)"""
"""Gentianella germanica (Willd.) Börner"""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Gentianella lutescens (Velen.) Holub"""	"""Schubert et al. (1987)"""
"""Gentianella obtusifolia (F. W. Schmidt) Holub"""	"""Schubert et al. (1987)"""
"""Gentianella praecox subsp. bohemica (Skalický) Holub"""	"""Schubert et al. (1987)"""
"""Gentianella tenella (Rottb.) Börner"""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Gentianella uliginosa (Willd.) Börner"""	"""Schubert et al. (1987)"""
"""Gentianopsis ciliata (L.) Ma"""	"""Jäger and Werner (2002); Kutschera and Lichtenegger (1992); Rauh (1937); Klimešová, pers. obs."""
"""Geranium bohemicum L."""	"""Schubert et al. (1987)"""
"""Geranium columbinum L."""	"""Schubert et al. (1987)"""
"""Geranium dissectum L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Geranium divaricatum Ehrh."""	"""Schubert et al. (1987)"""
"""Geranium lucidum L."""	"""Schubert et al. (1987)"""
"""Geranium molle L."""	"""Schubert et al. (1987)"""
"""Geranium palustre L."""	"""Schubert et al. (1987); Sugorkina (1995)"""
"""Geranium phaeum L."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Geranium pratense L."""	"""Kutschera and Lichtenegger (1992); Lukasiewicz (1962); Schubert et al. (1987); Sugorkina (1995); Klimešová, pers. obs."""
"""Geranium purpureum Vill."""	"""Schubert et al. (1987)"""
