"accepted_taxa","original_taxa_Baseflor","Chorology_Baseflor","Flower.color_Baseflor","Dispersal.mode_Baseflor","Flowering_Baseflor","Inflorescence_Baseflor","Pollination_Baseflor"
"Dianthus carthusianorum","Dianthus carthusianorum","Européen","Rose","Épizoochore","6-9","Cyme bipare","Entomogame"
"Dianthus carthusianorum carthusianorum","Dianthus carthusianorum subsp. carthusianorum","Européen","Rose","Épizoochore","6-9","Cyme bipare","Entomogame"
"Dianthus caryophyllus","Dianthus caryophyllus","Européen méridional","Rose","Épizoochore","6-9","Cyme bipare","Entomogame"
"Dianthus deltoides","Dianthus deltoides","Eurasiatique","Rose","Épizoochore","6-9","Cyme bipare","Entomogame"
"Digitalis","Digitalis grandiflora_Digitalis purpurea","Eurasiatique_Méditerranéen-atlantique","Jaune_Rose","Épizoochore","5-9_6-9","Racème simple","Entomogame"
"Digitalis grandiflora","Digitalis grandiflora","Eurasiatique","Jaune","Épizoochore","6-9","Racème simple","Entomogame"
"Digitalis purpurea","Digitalis purpurea","Méditerranéen-atlantique","Rose","Épizoochore","5-9","Racème simple","Entomogame"
"Digitaria","Digitaria ischaemum_Digitaria sanguinalis","Cosmopolite(thermo)","Rose","Barochore","7-10","Ombelle simple d'épis","Anémogame"
"Digitaria ischaemum","Digitaria ischaemum","Cosmopolite(thermo)","Rose","Barochore","7-10","Ombelle simple d'épis","Anémogame"
"Digitaria sanguinalis","Digitaria sanguinalis","Cosmopolite(thermo)","Rose","Barochore","7-10","Ombelle simple d'épis","Anémogame"
"Dimorphotheca sinuata",NA,NA,NA,NA,NA,NA,NA
"Dioscorea communis","Dioscorea communis","Méditerranéen-atlantique","Vert","Endozoochore","3-7","Racème simple","Entomogame"
"Diplotaxis","Diplotaxis erucoides_Diplotaxis muralis_Diplotaxis tenuifolia_Diplotaxis viminea","Européen méridional_Méditerranéen_Méditerranéen occidental_Méditerranéen-atlantique","Blanc_Jaune","Anémochore","4-6_4-9_5-10_5-9","Racème simple","Entomogame_Entomogame, autogame"
"Diplotaxis erucoides","Diplotaxis erucoides","Méditerranéen occidental","Blanc","Anémochore","4-6","Racème simple","Entomogame"
"Diplotaxis muralis","Diplotaxis muralis","Méditerranéen-atlantique","Jaune","Anémochore","5-10","Racème simple","Entomogame, autogame"
"Diplotaxis tenuifolia","Diplotaxis tenuifolia","Européen méridional","Jaune","Anémochore","5-9","Racème simple","Entomogame"
"Diplotaxis viminea","Diplotaxis viminea","Méditerranéen","Jaune","Anémochore","4-9","Racème simple","Entomogame"
"Diplotaxis virgata",NA,NA,NA,NA,NA,NA,NA
"Dipsacus","Dipsacus fullonum_Dipsacus sativus","Européen_Européen méridional","Rose","Anémochore","6-8_7-9","Cyme capituliforme","Entomogame_Entomogame, autogame"
"Dipsacus fullonum","Dipsacus fullonum","Européen méridional","Rose","Anémochore","7-9","Cyme capituliforme","Entomogame, autogame"
"Dipsacus sativus","Dipsacus sativus","Européen","Rose","Anémochore","6-8","Cyme capituliforme","Entomogame"
"Dittrichia graveolens","Dittrichia graveolens","Méditerranéen(eury)","Jaune","Anémochore","8-10","Racème de capitules","Entomogame"
"Dittrichia viscosa","Dittrichia viscosa","Méditerranéen","Jaune","Anémochore","9-10","Racème de capitules","Entomogame"
"Draba","Draba verna_Draba verna var. verna","Eurasiatique","Blanc","Anémochore","2-6","Racème simple","Autogame"
"Draba verna","Draba verna","Eurasiatique","Blanc","Anémochore","2-6","Racème simple","Autogame"
"Draba verna verna","Draba verna var. verna","Eurasiatique","Blanc","Anémochore","2-6","Racème simple","Autogame"
"Dryopteris","Dryopteris filix-mas","Holarctique","","Autochore","6-10","","Hydrogame"
"Dryopteris filix-mas","Dryopteris filix-mas","Holarctique","","Autochore","6-10","","Hydrogame"
"Duchesnea indica",NA,NA,NA,NA,NA,NA,NA
"Dysphania ambrosioides","Dysphania ambrosioides","Introduit (amér. tropicale)","Vert","Barochore","7-11","Épi de cymes triflores","Anémogame"
"Ecballium elaterium","Ecballium elaterium","Méditerranéen(eury)","Jaune","Autochore","5-9","Cyme unipare hélicoïde","Entomogame"
"Echinaria capitata","Echinaria capitata","Méditerranéen-atlantique","Vert","Épizoochore","5-7","Racème capituliforme","Anémogame"
"Echinochloa","Echinochloa colona_Echinochloa crus-galli","Cosmopolite(thermo)","Vert, rose","Barochore_Épizoochore","7-10","Panicule d'épillets","Anémogame"
"Echinochloa colona","Echinochloa colona","Cosmopolite(thermo)","Vert, rose","Barochore","7-10","Panicule d'épillets","Anémogame"
"Echinochloa crus-galli","Echinochloa crus-galli","Cosmopolite(thermo)","Vert, rose","Épizoochore","7-10","Panicule d'épillets","Anémogame"
"Echinops ritro","Echinops ritro","Européen méridional","Bleu","Anémochore","7-9","Racème de capitules","Entomogame, autogame"
"Echium","Echium arenarium_Echium asperrimum_Echium italicum_Echium plantagineum_Echium vulgare","Européen_Européen méridional_Méditerranéen_Méditerranéen(eury)","Bleu_Rose","Barochore","4-5_5-7","Racème de cymes unipares scorpioïdes","Entomogame"
"Echium arenarium","Echium arenarium","Méditerranéen","Bleu","Barochore","4-5","Racème de cymes unipares scorpioïdes","Entomogame"
"Echium asperrimum","Echium asperrimum","Méditerranéen(eury)","Bleu","Barochore","","Racème de cymes unipares scorpioïdes","Entomogame"
"Echium italicum","Echium italicum","Méditerranéen(eury)","Rose","Barochore","","Racème de cymes unipares scorpioïdes","Entomogame"
"Echium plantagineum","Echium plantagineum","Européen méridional","Bleu","Barochore","5-7","Racème de cymes unipares scorpioïdes","Entomogame"
"Echium vulgare","Echium vulgare","Européen","Bleu","Barochore","","Racème de cymes unipares scorpioïdes","Entomogame"
"Elaeagnus angustifolia","Elaeagnus angustifolia","Méditerranéen","Jaune","Endozoochore","5-7","Glomérules","Entomogame"
"Eleocharis palustris","Eleocharis palustris","Cosmopolite","Marron","Épizoochore","5-9","Épi simple","Anémogame"
"Eleusine indica","Eleusine indica","Introduit (asie)","Blanc","Barochore","7-10","Racème d'épis","Anémogame"
"Elymus","Elymus caninus_Elytrigia campestris_Elytrigia repens","Holarctique_Méditerranéen(eury)-atlantique(eury)","Vert","Épizoochore","5-8_6-9","Épi d'épillets","Anémogame"
"Elymus caninus","Elymus caninus","Holarctique","Vert","Épizoochore","5-8","Épi d'épillets","Anémogame"
"Elymus pungens",NA,NA,NA,NA,NA,NA,NA
"Elymus pungens campestris","Elytrigia campestris","Méditerranéen(eury)-atlantique(eury)","Vert","Épizoochore","5-8","Épi d'épillets","Anémogame"
"Elymus pungens campestris","Elytrigia campestris","Méditerranéen(eury)-atlantique(eury)","Vert","Épizoochore","5-8","Épi d'épillets","Anémogame"
"Elymus repens","Elytrigia repens","Holarctique","Vert","Épizoochore","6-9","Épi d'épillets","Anémogame"
"Elymus trachycaulus",NA,NA,NA,NA,NA,NA,NA
"Elytrigia intermedia intermedia","Elytrigia intermedia subsp. intermedia","Européen méridional","Vert","Épizoochore","6-9","Épi d'épillets","Anémogame"
"Elytrigia intermedia trichophora",NA,NA,NA,NA,NA,NA,NA
"Elytrigia repens repens","Elytrigia repens subsp. repens","Holarctique","Vert","Épizoochore","6-9","Épi d'épillets","Anémogame"
"Epilobium","Epilobium angustifolium_Epilobium ciliatum_Epilobium collinum_Epilobium dodonaei subsp. fleischeri_Epilobium hirsutum_Epilobium lanceolatum_Epilobium montanum_Epilobium obscurum_Epilobium palustre_Epilobium parviflorum_Epilobium roseum_Epilobium tetragonum_Epilobium tetragonum subsp. lamyi_Epilobium tetragonum subsp. tetragonum","Atlantique(eury)_Circumboréal_Eurasiatique_Européen_Introduit (amér. du nord)_Orophyte alpien","Blanc, rose_Rose","Anémochore","6-8_6-9_7-9","Racème simple","Autogame_Entomogame_Entomogame, autogame"
"Epilobium angustifolium","Epilobium angustifolium","Circumboréal","Rose","Anémochore","6-9","Racème simple","Entomogame"
"Epilobium ciliatum","Epilobium ciliatum","Introduit (amér. du nord)","Rose","Anémochore","","Racème simple","Autogame"
"Epilobium collinum","Epilobium collinum","Européen","Rose","Anémochore","7-9","Racème simple","Entomogame"
"Epilobium fleischeri","Epilobium dodonaei subsp. fleischeri","Orophyte alpien","Rose","Anémochore","6-8","Racème simple","Entomogame"
"Epilobium hirsutum","Epilobium hirsutum","Européen","Rose","Anémochore","6-9","Racème simple","Entomogame, autogame"
"Epilobium lanceolatum","Epilobium lanceolatum","Atlantique(eury)","Blanc, rose","Anémochore","6-9","Racème simple","Entomogame"
"Epilobium montanum","Epilobium montanum","Eurasiatique","Rose","Anémochore","6-9","Racème simple","Entomogame, autogame"
"Epilobium obscurum","Epilobium obscurum","Européen","Rose","Anémochore","7-9","Racème simple","Autogame"
"Epilobium palustre","Epilobium palustre","Circumboréal","Rose","Anémochore","7-9","Racème simple","Entomogame, autogame"
"Epilobium parviflorum","Epilobium parviflorum","Européen","Rose","Anémochore","6-9","Racème simple","Entomogame, autogame"
"Epilobium roseum","Epilobium roseum","Eurasiatique","Rose","Anémochore","6-9","Racème simple","Autogame"
"Epilobium tetragonum","Epilobium tetragonum","Eurasiatique","Rose","Anémochore","6-9","Racème simple","Autogame"
"Epilobium tetragonum lamyi","Epilobium tetragonum subsp. lamyi","Européen","Rose","Anémochore","6-9","Racème simple","Autogame"
"Epilobium tetragonum tetragonum","Epilobium tetragonum subsp. tetragonum","Eurasiatique","Rose","Anémochore","6-9","Racème simple","Autogame"
"Epilobium x intersitum",NA,NA,NA,NA,NA,NA,NA
"Epipactis","Epipactis helleborine","Eurasiatique","Vert","Anémochore","6-8","Racème simple","Entomogame"
"Epipactis helleborine","Epipactis helleborine","Eurasiatique","Vert","Anémochore","6-8","Racème simple","Entomogame"
"Equisetum","Equisetum arvense_Equisetum palustre_Equisetum ramosissimum_Equisetum sylvaticum_Equisetum telmateia","Circumboréal_Cosmopolite_Eurasiatique méridional_Holarctique septentrional","","Anémochore","3-5_4-6_5-8_5-9","","Hydrogame"
"Equisetum arvense","Equisetum arvense","Circumboréal","","Anémochore","3-5","","Hydrogame"
"Equisetum palustre","Equisetum palustre","Holarctique septentrional","","Anémochore","5-9","","Hydrogame"
"Equisetum pratense",NA,NA,NA,NA,NA,NA,NA
"Equisetum ramosissimum","Equisetum ramosissimum","Cosmopolite","","Anémochore","5-8","","Hydrogame"
"Equisetum ramosissimum ramosissimum","Equisetum ramosissimum","Cosmopolite","","Anémochore","5-8","","Hydrogame"
"Equisetum sylvaticum","Equisetum sylvaticum","Holarctique septentrional","","Anémochore","4-6","","Hydrogame"
"Equisetum telmateia","Equisetum telmateia","Eurasiatique méridional","","Anémochore","3-5","","Hydrogame"
"Eragrostis barrelieri","Eragrostis barrelieri","Méditerranéen","Vert","Barochore","6-10","Panicule d'épillets","Anémogame"
"Eragrostis cilianensis","Eragrostis cilianensis","Cosmopolite(thermo)","Vert","Anémochore","6-10","Panicule d'épillets","Anémogame"
"Eragrostis minor","Eragrostis minor","Circumboréal","Vert","Anémochore","6-10","Panicule d'épillets","Anémogame"
"Eragrostis pilosa","Eragrostis pilosa","Cosmopolite(thermo)","Vert","Anémochore","7-10","Panicule d'épillets","Anémogame"
"Erigeron","Erigeron acris_Erigeron alpinus_Erigeron annuus_Erigeron annuus var. annuus_Erigeron bonariensis_Erigeron canadensis_Erigeron floribundus_Erigeron glabratus_Erigeron strigosus_Erigeron sumatrensis","Cosmopolite_Européen méridional_Holarctique_Introduit (amér. du nord)_Introduit (amér. du sud)_Introduit (amér. tropicale)_Introduit (asie)_Orophyte alpien","Blanc, jaune_Bleu, jaune, rose_Jaune, rose","Anémochore","6-9_7-10_7-8_7-9_8-9","Racème de capitules","Entomogame_Entomogame, autogame"
"Erigeron acer","Erigeron alpinus_Erigeron glabratus","Européen méridional_Orophyte alpien","Blanc, jaune_Jaune, rose","Anémochore","7-8","Racème de capitules","Entomogame, autogame"
"Erigeron acris","Erigeron acris","Holarctique","Bleu, jaune, rose","Anémochore","6-9","Racème de capitules","Entomogame, autogame"
"Erigeron annuus","Erigeron annuus","Introduit (amér. du nord)","Blanc, jaune","Anémochore","7-8","Racème de capitules","Entomogame, autogame"
"Erigeron annuus annuus","Erigeron annuus var. annuus","Introduit (amér. du nord)","Blanc, jaune","Anémochore","7-8","Racème de capitules","Entomogame, autogame"
"Erigeron bonariensis","Erigeron bonariensis","Introduit (amér. tropicale)","Blanc, jaune","Anémochore","7-9","Racème de capitules","Entomogame"
"Erigeron canadensis","Erigeron canadensis","Cosmopolite","Blanc, jaune","Anémochore","7-10","Racème de capitules","Entomogame"
"Erigeron floribundus","Erigeron floribundus","Introduit (amér. du sud)","","Anémochore","","Racème de capitules","Entomogame"
"Erigeron glabellus",NA,NA,NA,NA,NA,NA,NA
"Erigeron strigosus","Erigeron strigosus","Introduit (amér. du nord)","Blanc, jaune","Anémochore","7-8","Racème de capitules","Entomogame, autogame"
"Erigeron sumatrensis","Erigeron sumatrensis","Introduit (asie)","Blanc, jaune","Anémochore","8-9","Racème de capitules","Entomogame"
"Erodium","Erodium chium_Erodium ciconium_Erodium cicutarium_Erodium malacoides_Erodium moschatum","Cosmopolite_Méditerranéen","Bleu_Rose","Autochore","3-6_4-7_4-9","Racème de cymes unipares hélicoïdes","Entomogame_Entomogame, autogame"
"Erodium chium","Erodium chium","Méditerranéen","Rose","Autochore","3-6","Racème de cymes unipares hélicoïdes","Entomogame"
"Erodium ciconium","Erodium ciconium","Méditerranéen","Bleu","Autochore","4-7","Racème de cymes unipares hélicoïdes","Entomogame"
"Erodium cicutarium","Erodium cicutarium","Cosmopolite","Rose","Autochore","","Racème de cymes unipares hélicoïdes","Entomogame, autogame"
"Erodium malacoides","Erodium malacoides","Méditerranéen","Rose","Autochore","4-7","Racème de cymes unipares hélicoïdes","Entomogame"
"Erodium moschatum","Erodium moschatum","Méditerranéen","Rose","Autochore","4-9","Racème de cymes unipares hélicoïdes","Entomogame"
"Eruca vesicaria","Eruca vesicaria","Méditerranéen","","Barochore","","Racème simple","Entomogame"
"Eruca vesicaria sativa","Eruca sativa_Eruca sativa subsp. lativalvis_Eruca sativa subsp. longirostris_Eruca sativa subsp. sativa","Méditerranéen(eury)","Blanc, jaune","Barochore","4-6","Racème simple","Entomogame"
"Erucastrum gallicum","Erucastrum gallicum","Européen méridional","Jaune","Barochore","5-9","Racème simple","Entomogame"
"Erucastrum nasturtiifolium","Erucastrum nasturtiifolium","Européen occidental","Jaune","Barochore","5-9","Racème simple","Entomogame"
"Eryngium","Eryngium campestre_Eryngium maritimum","Eurasiatique_Méditerranéen-atlantique","Blanc_Bleu","Anémochore_Épizoochore","6-9_7-9","Ombelle d'ombellules","Entomogame_Entomogame, autogame"
"Eryngium campestre","Eryngium campestre","Eurasiatique","Blanc","Épizoochore","7-9","Ombelle d'ombellules","Entomogame, autogame"
"Eryngium maritimum","Eryngium maritimum","Méditerranéen-atlantique","Bleu","Anémochore","6-9","Ombelle d'ombellules","Entomogame"
"Erysimum","Erysimum cheiranthoides_Erysimum cheiri_Erysimum incanum subsp. aurigeranum_Erysimum repandum_Erysimum virgatum","Européen_Holarctique_Méditerranéen oriental_Orophyte alpien_Orophyte pyrénéen","Jaune","Anémochore_Barochore_Épizoochore","5-7_5-9","Racème simple","Entomogame_Entomogame, autogame"
"Erysimum aurigeranum","Erysimum incanum subsp. aurigeranum","Orophyte pyrénéen","Jaune","Épizoochore","5-7","Racème simple","Entomogame"
"Erysimum cheiranthoides","Erysimum cheiranthoides","Holarctique","Jaune","Barochore","5-9","Racème simple","Entomogame, autogame"
"Erysimum repandum","Erysimum repandum","Européen","Jaune","Anémochore","","Racème simple","Entomogame"
"Erysimum virgatum","Erysimum virgatum","Orophyte alpien","Jaune","Anémochore","","Racème simple","Entomogame"
"Erysimum x cheiri","Erysimum cheiri","Méditerranéen oriental","Jaune","Anémochore","","Racème simple","Entomogame"
"Erythranthe moschata","Erythranthe moschata","Introduit (amér. du nord)","Jaune","Hydrochore","6-9","Racème simple","Entomogame"
"Eschscholzia californica","Eschscholzia californica","Introduit (amér. du nord occ.)","","Anémochore","","","Entomogame"
"Euonymus","Euonymus europaeus","Eurasiatique","Blanc","Myrmécochore","4-5","Corymbe","Entomogame"
"Euonymus europaeus","Euonymus europaeus","Eurasiatique","Blanc","Myrmécochore","4-5","Corymbe","Entomogame"
"Eupatorium cannabinum","Eupatorium cannabinum","Eurasiatique méridional","Rose","Anémochore","7-8","Racème de capitules","Entomogame, autogame"
"Euphorbia","Euphorbia amygdaloides_Euphorbia chamaesyce_Euphorbia characias_Euphorbia cyparissias_Euphorbia esula_Euphorbia esula subsp. esula_Euphorbia exigua_Euphorbia falcata_Euphorbia flavicoma_Euphorbia flavicoma subsp. costeana_Euphorbia flavicoma subsp. verrucosa_Euphorbia helioscopia_Euphorbia helioscopia subsp. helioscopia_Euphorbia hirsuta_Euphorbia humifusa_Euphorbia lathyris_Euphorbia maculata_Euphorbia nicaeensis_Euphorbia nutans_Euphorbia paralias_Euphorbia peplis_Euphorbia peplus_Euphorbia platyphyllos_Euphorbia prostrata_Euphorbia segetalis_Euphorbia serrata_Euphorbia stricta_Euphorbia sulcata_Euphorbia taurinensis_Euphorbia terracina","Cosmopolite_Eurasiatique_Eurasiatique méridional_Européen méridional_Introduit (amér. du nord)_Introduit (asie)_Ligure_Méditerranéen_Méditerranéen occidental_Méditerranéen-atlantique_Méditerranéen(eury)","Jaune","Anémochore_Barochore_Myrmécochore","1-12_4-10_4-11_4-6_4-9_5-7_5-9_6-9_7-9","Cyathe","Entomogame"
"Euphorbia amygdaloides","Euphorbia amygdaloides","Eurasiatique méridional","Jaune","","","Cyathe","Entomogame"
"Euphorbia chamaesyce","Euphorbia chamaesyce","Méditerranéen(eury)","Jaune","Anémochore","","Cyathe","Entomogame"
"Euphorbia characias","Euphorbia characias","Méditerranéen","Jaune","Myrmécochore","","Cyathe","Entomogame"
